Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.36     0.00        2     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<double, void>::value, double*>::type std::__relocate_a_1<double, double>(double*, double*, double*, std::allocator<double>&)
  0.00      0.36     0.00        2     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.36     0.00        2     0.00     0.00  std::iterator_traits<int*>::iterator_category std::__iterator_category<int*>(int* const&)
  0.00      0.36     0.00        2     0.00     0.00  int* std::__uninitialized_default_n<int*, unsigned long>(int*, unsigned long)
  0.00      0.36     0.00        2     0.00     0.00  int* std::__uninitialized_default_n_a<int*, unsigned long, int>(int*, unsigned long, std::allocator<int>&)
  0.00      0.36     0.00        2     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.36     0.00        2     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.36     0.00        2     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.36     0.00        2     0.00     0.00  void std::__fill_a<int*, int>(int*, int*, int const&)
  0.00      0.36     0.00        2     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a1<int*, int>(int*, int*, int const&)
  0.00      0.36     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.36     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.36     0.00        1     0.00     0.23  CGSolverSparse::read_matrix(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.36     0.00        1     0.00   309.60  CGSolverSparse::solve(std::vector<double, std::allocator<double> >&)
  0.00      0.36     0.00        1     0.00     0.00  CGSolverSparse::CGSolverSparse()
  0.00      0.36     0.00        1     0.00     0.00  CGSolverSparse::~CGSolverSparse()
  0.00      0.36     0.00        1     0.00     0.00  Solver::Solver()
  0.00      0.36     0.00        1     0.00     0.00  Solver::~Solver()
  0.00      0.36     0.00        1     0.00     0.23  MatrixCOO::read(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.36     0.00        1     0.00     0.00  MatrixCOO::MatrixCOO()
  0.00      0.36     0.00        1     0.00     0.00  MatrixCOO::~MatrixCOO()
  0.00      0.36     0.00        1     0.00     0.00  Solver::m() const
  0.00      0.36     0.00        1     0.00     0.00  Solver::n() const
